example_id                                                      | status | run_time        |
./spec/models/project_spec.rb[1:9:3]                            | passed | 0.02549 seconds |
./spec/models/project_spec.rb[1:10:1]                           | passed | 0.00934 seconds |
./spec/models/project_spec.rb[1:10:2]                           | passed | 0.00787 seconds |
./spec/models/project_spec.rb[1:10:3]                           | passed | 0.01265 seconds |
./spec/models/project_spec.rb[1:10:4]                           | passed | 0.01557 seconds |
./spec/models/project_spec.rb[1:10:5]                           | passed | 0.01642 seconds |
./spec/models/project_spec.rb[1:11]                             | passed | 0.00779 seconds |
./spec/models/project_spec.rb[1:12]                             | passed | 0.00819 seconds |
./spec/models/project_spec.rb[1:13:1]                           | passed | 0.01015 seconds |
./spec/models/project_spec.rb[1:13:2]                           | passed | 0.01775 seconds |
./spec/models/project_spec.rb[1:13:3]                           | passed | 0.02498 seconds |
./spec/models/project_spec.rb[1:13:4]                           | passed | 0.03571 seconds |
./spec/models/project_spec.rb[1:13:5]                           | passed | 0.04933 seconds |
./spec/models/project_spec.rb[1:14:1]                           | passed | 0.00683 seconds |
./spec/models/project_spec.rb[1:14:2]                           | passed | 0.01916 seconds |
./spec/models/project_spec.rb[1:14:3]                           | passed | 0.0181 seconds  |
./spec/models/project_spec.rb[1:14:4]                           | passed | 0.02332 seconds |
./spec/models/project_spec.rb[1:15:1]                           | passed | 0.00904 seconds |
./spec/models/project_spec.rb[1:15:2]                           | passed | 0.03458 seconds |
./spec/models/project_spec.rb[1:15:3]                           | passed | 0.05292 seconds |
./spec/models/project_spec.rb[1:16:1]                           | passed | 0.00815 seconds |
./spec/models/project_spec.rb[1:16:2]                           | passed | 0.00764 seconds |
./spec/models/project_spec.rb[1:16:3]                           | passed | 0.03734 seconds |
./spec/models/project_spec.rb[1:17:1]                           | passed | 0.0351 seconds  |
./spec/models/project_spec.rb[1:17:2]                           | passed | 0.03418 seconds |
./spec/models/raw_datum_spec.rb[1:1]                            | passed | 0.0266 seconds  |
./spec/models/raw_datum_spec.rb[1:2:1]                          | passed | 0.03081 seconds |
./spec/models/raw_datum_spec.rb[1:2:2]                          | passed | 0.03157 seconds |
./spec/models/raw_datum_spec.rb[1:2:3]                          | passed | 0.03095 seconds |
./spec/models/raw_datum_spec.rb[1:2:4]                          | passed | 0.03097 seconds |
./spec/models/raw_datum_spec.rb[1:2:5]                          | passed | 0.03058 seconds |
./spec/models/raw_datum_spec.rb[1:2:6]                          | passed | 0.05903 seconds |
./spec/models/raw_datum_spec.rb[1:2:7]                          | passed | 0.06304 seconds |
./spec/models/raw_datum_spec.rb[1:3:1]                          | passed | 0.03242 seconds |
./spec/models/raw_datum_spec.rb[1:3:2]                          | passed | 0.0352 seconds  |
./spec/models/raw_datum_spec.rb[1:3:3]                          | passed | 0.0331 seconds  |
./spec/models/raw_datum_spec.rb[1:3:4]                          | passed | 0.05059 seconds |
./spec/models/raw_datum_spec.rb[1:3:5]                          | passed | 0.03609 seconds |
./spec/models/raw_datum_spec.rb[1:4:1]                          | passed | 0.07277 seconds |
./spec/models/raw_datum_spec.rb[1:4:2]                          | passed | 0.14953 seconds |
./spec/models/raw_datum_spec.rb[1:4:3]                          | passed | 0.07304 seconds |
